Taxonomy,Level,Entries,Amplifies,Differentiable,Rank Summary
Fungi;Mortierellomycota,2,772,48,48,"['none (724)', 'species (48)']"
Fungi;Mortierellomycota;Mortierellomycetes,3,762,48,48,"['none (714)', 'species (48)']"
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales,4,757,48,48,"['none (709)', 'species (48)']"
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae,5,676,44,44,"['none (632)', 'species (44)']"
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella,6,469,22,22,"['none (447)', 'species (22)']"
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella armillariicola,7,1,0,0,['none (1)']
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella formosana,7,1,0,0,['none (1)']
Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae,5,37,18,18,"['species (18)', 'none (19)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Cenangiopsis,6,5,4,4,"['species (4)', 'none (1)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Cenangiopsis;Cenangiopsis violascens,7,1,1,1,['species (1)']
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae,5,459,178,178,"['species (178)', 'none (281)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Phaeosphaeria,6,69,27,27,"['species (27)', 'none (42)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Phaeosphaeria;Phaeosphaeria ampeli,7,1,1,1,['species (1)']
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Fonsecaea,6,7,2,2,"['none (5)', 'species (2)']"
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Fonsecaea;Fonsecaea monophora,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales,4,349,1,1,"['none (348)', 'species (1)']"
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae,5,338,1,1,"['none (337)', 'species (1)']"
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Curvichaeta,6,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Curvichaeta;Curvichaeta curvispora,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Ophiostomatales,4,266,5,5,"['none (261)', 'species (5)']"
Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae,5,254,5,5,"['none (249)', 'species (5)']"
Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Leptographium,6,21,0,0,['none (21)']
Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Leptographium;Leptographium neomexicanum,7,1,0,0,['none (1)']
Fungi;Ascomycota;Leotiomycetes;Helotiales;Erysiphaceae,5,300,128,128,"['none (172)', 'species (128)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Erysiphaceae;Erysiphe,6,151,61,61,"['none (90)', 'species (61)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Erysiphaceae;Erysiphe;Erysiphe diffusa,7,4,1,1,"['none (3)', 'species (1)']"
Fungi;Ascomycota;Sordariomycetes;Magnaporthales,4,231,12,12,"['none (219)', 'species (12)']"
Fungi;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae,5,164,10,10,"['none (154)', 'species (10)']"
Fungi;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Gaeumannomyces,6,23,1,1,"['none (22)', 'species (1)']"
Fungi;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Gaeumannomyces;Gaeumannomyces avenae,7,1,0,0,['none (1)']
Fungi;Ascomycota;Pezizomycetes,3,2980,691,689,"['none (2289)', 'species (689)', 'domain (1)', 'family (1)']"
Fungi;Ascomycota;Pezizomycetes;Pezizales,4,2971,691,689,"['none (2280)', 'species (689)', 'domain (1)', 'family (1)']"
Fungi;Ascomycota;Pezizomycetes;Pezizales;Helvellaceae,5,160,60,60,"['none (100)', 'species (60)']"
Fungi;Ascomycota;Pezizomycetes;Pezizales;Helvellaceae;Helvella,6,139,54,54,"['none (85)', 'species (54)']"
Fungi;Ascomycota;Pezizomycetes;Pezizales;Helvellaceae;Helvella;Helvella guttata,7,1,0,0,['none (1)']
Fungi;Fungi phy Incertae sedis,2,1666,319,314,"['none (1347)', 'species (314)', 'domain (5)']"
Fungi;Fungi phy Incertae sedis;Fungi cls Incertae sedis,3,1666,319,314,"['none (1347)', 'species (314)', 'domain (5)']"
Fungi;Fungi phy Incertae sedis;Fungi cls Incertae sedis;Fungi ord Incertae sedis,4,1666,319,314,"['none (1347)', 'species (314)', 'domain (5)']"
Fungi;Fungi phy Incertae sedis;Fungi cls Incertae sedis;Fungi ord Incertae sedis;Fungi fam Incertae sedis,5,1666,319,314,"['none (1347)', 'species (314)', 'domain (5)']"
Fungi;Fungi phy Incertae sedis;Fungi cls Incertae sedis;Fungi ord Incertae sedis;Fungi fam Incertae sedis;Fungi gen Incertae sedis,6,1666,319,314,"['none (1347)', 'species (314)', 'domain (5)']"
Fungi;Fungi phy Incertae sedis;Fungi cls Incertae sedis;Fungi ord Incertae sedis;Fungi fam Incertae sedis;Fungi gen Incertae sedis;Fungi sp,7,1666,319,314,"['none (1347)', 'species (314)', 'domain (5)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales fam Incertae sedis;Candida;Candida rishiriensis,7,1,1,1,['species (1)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae,5,156,66,66,"['none (90)', 'species (66)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Saturnispora,6,19,2,2,"['none (17)', 'species (2)']"
